case_id,condition,model,first_pass,judge_verdict,judge_reason,elapsed
case1c_multi_constraint,original,kimi-k2.6,True,pass,模型正确识别了所有关键要素：条件（主体'me'、位置'Shenzhen'、时间't+3am'）、主要动作（取消订阅'subscription'）以及后续动作（发送邮件给'wangwu'），且逻辑顺序和否定逻辑（无）均正确无误。,9.9
case1c_multi_constraint,shuffled,kimi-k2.6,True,pass,"The model correctly identifies the main action (cancel subscription), all entities (notification recipient wangwu), and ",5.4
case1c_multi_constraint,skeleton,kimi-k2.6,False,fail,"Model's interpretation completely mismatches the original intent, describing a conditional data operation involving enti",17.9
case2_negation,original,kimi-k2.6,True,pass,"The model correctly identifies the main action (start hike), entities (hike, cards), constraints (!rain at t+1), negatio",12.0
case2_negation,shuffled,kimi-k2.6,False,fail,"The model incorrectly interprets the condition logic and action mapping, specifically misplacing the 'if start(hike)' co",33.7
case2_negation,skeleton,kimi-k2.6,False,fail,模型完全误解了原始意图，未能识别出'开始徒步'的主要动作、'不下雨'的条件约束以及室内打牌的备选方案。,17.5
case2b_negation,original,kimi-k2.6,True,pass,"模型准确识别了核心动作（start）、实体（meeting, review, offline）、条件（!deadline(t+2)）及其时间约束，并正确解析了分支逻辑和备选方案，未发现遗漏或语义错误。",8.7
case2b_negation,shuffled,kimi-k2.6,False,fail,模型误解了主动作与备选动作的优先级，错误地假设条件分支决定了哪个动作是主要动作，而不是遵循SILP中先主后备的结构。,10.4
case2b_negation,skeleton,kimi-k2.6,False,fail,"The model misinterpreted the encoded instruction entirely, failing to identify the correct main action (start meeting), ",14.2
case2c_negation,original,kimi-k2.6,True,pass,"模型准确识别了所有实体（deploy, rollback, staging, t+1）、条件约束（!error(t+1)）、主动作、备选动作分支及其逻辑关系，包括否定逻辑未反转。",13.1
case2c_negation,shuffled,kimi-k2.6,True,pass,"The model correctly identifies the primary action as deploying, the constraint as handling an error occurring at t+1, th",16.0
case2c_negation,skeleton,kimi-k2.6,False,fail,"The model misidentified the main action as a conditional dispatch (qqv) instead of deploy, incorrectly interpreted the c",18.5
case3_detail,original,kimi-k2.6,False,fail,The model incorrectly interpreted the source value 'fr_rev_bold' as a French dialect with specific stylistic traits and ,16.4
case3_detail,shuffled,kimi-k2.6,True,pass,"The response correctly identifies the main action (translate), all entities and arguments (src, tgt, style), and their r",11.1
case3_detail,skeleton,kimi-k2.6,False,fail,The model completely failed to decode the payload as a translation instruction and instead provided a generic analysis o,17.2
case3b_detail,original,kimi-k2.6,True,pass,The model correctly identifies the core translation action and accurately captures all specified parameters: source lang,8.1
case3b_detail,shuffled,kimi-k2.6,True,pass,"模型正确识别了核心动作 'translate'，准确捕获了所有实体（src=en_formal, tgt=ja_polite, style=business_heavy）及其语义含义，未遗漏或错误解读任何约束条件。",10.7
case3b_detail,skeleton,kimi-k2.6,False,fail,模型未能识别出 !TRANSLATE 翻译意图及源语言、目标语言、风格等关键实体，反而将其误解为名为 'tom' 的通用指令及未知参数。,10.1
case3c_detail,original,kimi-k2.6,True,pass,"The model correctly identifies the translation action and all specified entities (source language as classical Chinese, ",6.2
case3c_detail,shuffled,kimi-k2.6,True,pass,模型正确识别了核心动作、所有实体及其角色，并准确描述了风格要求，未遗漏或曲解任何语义要素。,5.7
case3c_detail,skeleton,kimi-k2.6,False,fail,"The model incorrectly identified the main action as a wallet query instead of translation, and fabricated all entity int",10.0
case5_tool_branch,original,kimi-k2.6,True,pass,"The model correctly identifies the main action (switch), target (indoor_activity), and the weather constraint (rain) wit",8.6
case5_tool_branch,shuffled,kimi-k2.6,True,pass,The model correctly identifies the conditional logic where the action (switch to indoor activity) is triggered only when,15.7
case5_tool_branch,skeleton,kimi-k2.6,False,fail,"The model's response is a literal decoding of the encoded instruction strings ('fyz>nvy', 'muy(gvz)') and fails to map t",6.5
case5b_tool_branch,original,kimi-k2.6,True,pass,模型正确理解了核心动作为切换至backup_mode，正确识别了磁盘使用率超过90%的约束条件，且未颠倒任何逻辑或遗漏实体。,7.1
case5b_tool_branch,shuffled,kimi-k2.6,True,pass,模型正确识别了主要动作、实体、条件约束，且未误读否定逻辑或遗漏关键信息。,28.3
case5b_tool_branch,skeleton,kimi-k2.6,False,fail,"The model misinterprets the encoded instruction as variable comparisons and function calls, completely failing to identi",10.4
case5c_tool_branch,original,kimi-k2.6,True,pass,"The response correctly identifies the condition (error_rate > 5%), the action (switch to safe_mode), and the overall sem",6.8
case5c_tool_branch,shuffled,kimi-k2.6,True,pass,"The model correctly identifies the main action as switching to safe mode, accurately captures the constraint of error_ra",11.4
case5c_tool_branch,skeleton,kimi-k2.6,False,fail,模型未能识别出条件操作符为大于号（>）以及具体的数值（5%），也未正确识别意图为切换（safe_mode），而是将其误解为通用的函数调用和变量比较。,5.4
case6_nested_constraint,original,kimi-k2.6,True,pass,模型正确识别了所有实体、条件约束和主要动作，包括预算、评分、位置、城市、入住时间、住宿时长及预订操作，未遗漏或误解任何语义信息。,8.0
case6_nested_constraint,shuffled,kimi-k2.6,True,pass,模型正确识别了所有动作（预订酒店）、实体（上海、t+3、2晚、市中心）、约束（评分>=4.0、预算<=500）以及逻辑关系，未反转任何否定条件，语义意图与原始IR完全一致。,8.4
case6_nested_constraint,skeleton,kimi-k2.6,False,fail,模型未能解码指令，未能识别预订酒店、地点上海、入住时间t+3、2晚、预算<=500、评分>=4.0及市中心位置等任何核心语义。,2.3
case6b_nested_constraint,original,kimi-k2.6,False,fail,"The model response incorrectly states the action involves a 'round-trip' ticket, which is an entity/detail not present i",8.0
case6b_nested_constraint,shuffled,kimi-k2.6,True,pass,"The model correctly identifies the main action as booking a flight to Beijing for 3 nights starting in 5 days, and accur",8.3
case6b_nested_constraint,skeleton,kimi-k2.6,False,fail,"The model interpreted the encoded instruction as generic conditional logic and pseudocode syntax, completely failing to ",9.4
case6c_nested_constraint,original,kimi-k2.6,True,pass,模型正确识别了所有实体、约束条件和主要操作，并且没有反转否定逻辑或遗漏任何必要元素。,10.4
case6c_nested_constraint,shuffled,kimi-k2.6,False,fail,模型错误地将约束条件解释为执行搜索的“前置条件”，导致搜索意图的语义逻辑被完全反转。,11.3
case6c_nested_constraint,skeleton,kimi-k2.6,False,fail,"The model response interprets the encoded instruction as a generic conditional function call with abstract parameters, c",6.7
case7_parallel_action,original,kimi-k2.6,True,pass,"The response correctly identifies the sequence of actions (fetch data, process result, email report), the constraint (ti",10.8
case7_parallel_action,shuffled,kimi-k2.6,True,pass,模型正确理解并解释了原始意图的所有关键语义组件，包括顺序动作、实体、超时约束和条件触发。,17.3
case7_parallel_action,skeleton,kimi-k2.6,False,fail,The model incorrectly interprets the encoded instruction as a conditional sequence (if...then...) instead of the actual ,20.3
case7b_parallel_action,original,kimi-k2.6,True,pass,"The response correctly identifies the main action sequence (fetch config, process validate, email admin), the timeout co",11.1
case7b_parallel_action,shuffled,kimi-k2.6,False,fail,The response incorrectly infers a complex conditional control flow (if-then-else logic) based on the position of entitie,23.7
case7b_parallel_action,skeleton,kimi-k2.6,False,fail,"The model misidentified all actions and entities, interpreting them as a conditional sequence of 'get', 'set text', 'run",8.9
case7c_parallel_action,original,kimi-k2.6,False,fail,模型将 `timeout(60s)` 错误地解释为触发后续动作的条件，而根据 IR 的 `meta.seq`，意图实际上是按顺序执行 fetch、process 和 email，且 timeout 是这些操作的一个约束（例如限制总执行时间）,12.6
case7c_parallel_action,shuffled,kimi-k2.6,False,fail,"The response incorrectly interprets 'email(alert)' as a source context for fetching logs, missing the distinct sequentia",7.5
case7c_parallel_action,skeleton,kimi-k2.6,False,fail,"The model misinterpreted the encoded instruction as a conditional error handling script instead of a sequential fetch, p",12.8
case8_conditional_branch,original,kimi-k2.6,True,pass,模型正确识别了所有实体、条件约束、动作和否则分支中的所有操作。,11.8
case8_conditional_branch,shuffled,kimi-k2.6,False,fail,模型错误地解读了条件逻辑的执行顺序，将 'urgency==high' 和 'category(billing)' 视为执行 'route(ticket)' 和 'route(manager)' 的条件，而实际上这些是 'route(tic,5.4
case8_conditional_branch,skeleton,kimi-k2.6,False,fail,"模型完全误解了原始意图，将路由指令解释为条件控制流逻辑，且忽略了实体（ticket）、约束（urgency, category）和替代目标（tech_support, manager）。",5.4
case8b_conditional_branch,original,kimi-k2.6,True,pass,"模型正确理解了主操作、实体（order_99, finance, supervisor）、约束条件（amount>5000, category=refund）以及完整的路由逻辑顺序。",8.1
case8b_conditional_branch,shuffled,kimi-k2.6,False,fail,The model incorrectly fabricates an explicit priority match for 'order_99' and misrepresents the logical structure of th,14.3
case8b_conditional_branch,skeleton,kimi-k2.6,False,fail,The model completely failed to decode the instruction and instead invented a generic conditional logic flow that does no,6.4
case8c_conditional_branch,original,kimi-k2.6,True,pass,模型准确解析了条件路由逻辑，正确识别了主要动作、实体、约束条件、备选分支及它们的顺序，未发现语义错误或否定逻辑反转。,22.2
case8c_conditional_branch,shuffled,kimi-k2.6,False,fail,"The model misinterpreted the control flow, treating the instruction as a sequential default (route to oncall) instead of",10.1
case8c_conditional_branch,skeleton,kimi-k2.6,False,fail,The model correctly parsed the encoded instruction's logic but failed to map it back to the specific semantic intent def,9.3
case9_tool_call,original,kimi-k2.6,True,pass,模型正确识别了所有实体、条件、主要动作及备选分支，逻辑与原始 IR 完全一致。,11.9
case9_tool_call,shuffled,kimi-k2.6,False,fail,"The model misinterprets the constraint logic, treating the rating filter as a condition for the alternative action rathe",8.8
case9_tool_call,skeleton,kimi-k2.6,False,fail,The model failed to decode the SILP payload and instead provided a generic analysis of conditional logic without matchin,14.9
case9b_tool_call,original,kimi-k2.6,True,pass,模型正确识别了所有语义元素，包括主动作（搜索酒店）、所有实体和参数（日式、东京、宠物友好）、约束条件（星级>=4）以及备选分支动作（推荐旅舍）。,7.6
case9b_tool_call,shuffled,kimi-k2.6,True,pass,"The model correctly identifies the main action (search hotels), all entities (Japanese, Tokyo, pet_friendly), the constr",8.5
case9b_tool_call,skeleton,kimi-k2.6,False,fail,The model completely misinterpreted the encoded instruction as a generic if-else programming structure instead of decodi,11.2
case9c_tool_call,original,kimi-k2.6,True,pass,"The model's response correctly identifies the main action (search flights), all entities (economy, Chengdu, direct_only)",13.7
case9c_tool_call,shuffled,kimi-k2.6,False,fail,"The model completely misinterpreted the logic flow, treating the condition 'duration<=5h' as a general criteria for the ",10.7
case9c_tool_call,skeleton,kimi-k2.6,False,fail,"The model response interprets the instruction as a generic conditional statement with variables, completely missing the ",9.1
